ntpb,npts,nTriMax,totalRuntime,totalCPUTime,totalGPUTime,prepForInsertTimeTot,insertTimeTot,flipTimeTot,updatePtsTimeTot,seed,distribution,deviceName
512,100000,200001,0.651757,0.001363,0.650394,0.008510,0.001489,0.038669,0.601727,0,1,NVIDIA GeForce RTX 3090
544,100000,200001,0.666754,0.001435,0.665319,0.008432,0.001494,0.038779,0.616614,0,1,NVIDIA GeForce RTX 3090
576,100000,200001,0.674493,0.001417,0.673076,0.008445,0.001491,0.038821,0.624319,0,1,NVIDIA GeForce RTX 3090
608,100000,200001,0.679851,0.001256,0.678595,0.008498,0.001503,0.038936,0.629657,0,1,NVIDIA GeForce RTX 3090
640,100000,200001,0.685338,0.001314,0.684024,0.008362,0.001514,0.039075,0.635072,0,1,NVIDIA GeForce RTX 3090
672,100000,200001,0.691049,0.001396,0.689653,0.008409,0.001531,0.039387,0.640326,0,1,NVIDIA GeForce RTX 3090
704,100000,200001,0.686377,0.001402,0.684975,0.008205,0.001540,0.039140,0.636090,0,1,NVIDIA GeForce RTX 3090
736,100000,200001,0.697817,0.001406,0.696411,0.008374,0.001549,0.040142,0.646346,0,1,NVIDIA GeForce RTX 3090
768,100000,200001,0.695811,0.001335,0.694476,0.008604,0.001539,0.039984,0.644349,0,1,NVIDIA GeForce RTX 3090
800,100000,200001,0.709216,0.001364,0.707852,0.008501,0.001551,0.040019,0.657781,0,1,NVIDIA GeForce RTX 3090
832,100000,200001,0.745035,0.001393,0.743642,0.008543,0.001560,0.040028,0.693511,0,1,NVIDIA GeForce RTX 3090
864,100000,200001,0.738265,0.001366,0.736899,0.008331,0.001567,0.039574,0.687427,0,1,NVIDIA GeForce RTX 3090
32,100000,200001,0.391061,0.001034,0.390027,0.006755,0.001056,0.023786,0.358431,0,2,NVIDIA GeForce RTX 3090
64,100000,200001,0.339328,0.000986,0.338342,0.006912,0.001074,0.023944,0.306413,0,2,NVIDIA GeForce RTX 3090
96,100000,200001,0.335679,0.000845,0.334834,0.007225,0.001077,0.023872,0.302659,0,2,NVIDIA GeForce RTX 3090
128,100000,200001,0.341460,0.001038,0.340422,0.007065,0.001078,0.023874,0.308405,0,2,NVIDIA GeForce RTX 3090
160,100000,200001,0.346634,0.001021,0.345613,0.006970,0.001086,0.023834,0.313723,0,2,NVIDIA GeForce RTX 3090
192,100000,200001,0.329949,0.001009,0.328940,0.006995,0.001103,0.023991,0.296851,0,2,NVIDIA GeForce RTX 3090
224,100000,200001,0.342280,0.001001,0.341279,0.007072,0.001110,0.024045,0.309052,0,2,NVIDIA GeForce RTX 3090
256,100000,200001,0.354170,0.001002,0.353168,0.006967,0.001117,0.023620,0.321463,0,2,NVIDIA GeForce RTX 3090
288,100000,200001,0.353085,0.001027,0.352058,0.006786,0.001116,0.024079,0.320077,0,2,NVIDIA GeForce RTX 3090
320,100000,200001,0.371835,0.001063,0.370772,0.006946,0.001123,0.023925,0.338777,0,2,NVIDIA GeForce RTX 3090
352,100000,200001,0.359023,0.001083,0.357940,0.006939,0.001140,0.024129,0.325731,0,2,NVIDIA GeForce RTX 3090
384,100000,200001,0.362171,0.001042,0.361129,0.006890,0.001154,0.024154,0.328931,0,2,NVIDIA GeForce RTX 3090
416,100000,200001,0.362208,0.001062,0.361146,0.006983,0.001171,0.024260,0.328732,0,2,NVIDIA GeForce RTX 3090
448,100000,200001,0.364487,0.001053,0.363434,0.007051,0.001169,0.024312,0.330903,0,2,NVIDIA GeForce RTX 3090
480,100000,200001,0.388860,0.001037,0.387823,0.006867,0.001162,0.023930,0.355865,0,2,NVIDIA GeForce RTX 3090
512,100000,200001,0.370682,0.001014,0.369668,0.006865,0.001171,0.024252,0.337379,0,2,NVIDIA GeForce RTX 3090
544,100000,200001,0.406688,0.001075,0.405613,0.006811,0.001183,0.024358,0.373260,0,2,NVIDIA GeForce RTX 3090
576,100000,200001,0.389942,0.001065,0.388877,0.006772,0.001191,0.024345,0.356569,0,2,NVIDIA GeForce RTX 3090
608,100000,200001,0.393682,0.001017,0.392665,0.006851,0.001198,0.024502,0.360114,0,2,NVIDIA GeForce RTX 3090
640,100000,200001,0.411829,0.001073,0.410756,0.006695,0.001195,0.024484,0.378382,0,2,NVIDIA GeForce RTX 3090
672,100000,200001,0.415876,0.001057,0.414819,0.006648,0.001203,0.024625,0.382343,0,2,NVIDIA GeForce RTX 3090
704,100000,200001,0.382786,0.001052,0.381734,0.006560,0.001219,0.024793,0.349162,0,2,NVIDIA GeForce RTX 3090
736,100000,200001,0.394472,0.001062,0.393410,0.006541,0.001226,0.024923,0.360719,0,2,NVIDIA GeForce RTX 3090
768,100000,200001,0.412032,0.001063,0.410969,0.006683,0.001243,0.024947,0.378096,0,2,NVIDIA GeForce RTX 3090
800,100000,200001,0.421841,0.000998,0.420843,0.006862,0.001250,0.025035,0.387696,0,2,NVIDIA GeForce RTX 3090
832,100000,200001,0.429770,0.001037,0.428733,0.006617,0.001267,0.024932,0.395917,0,2,NVIDIA GeForce RTX 3090
864,100000,200001,0.427303,0.001042,0.426261,0.006622,0.001239,0.024951,0.393449,0,2,NVIDIA GeForce RTX 3090
32,100000,200001,0.379834,0.001126,0.378708,0.007127,0.001113,0.027645,0.342823,0,3,NVIDIA GeForce RTX 3090
64,100000,200001,0.335814,0.001051,0.334763,0.007480,0.001116,0.027311,0.298856,0,3,NVIDIA GeForce RTX 3090
96,100000,200001,0.342717,0.001011,0.341706,0.007223,0.001133,0.027802,0.305548,0,3,NVIDIA GeForce RTX 3090
128,100000,200001,0.346709,0.001079,0.345630,0.007543,0.001132,0.027795,0.309160,0,3,NVIDIA GeForce RTX 3090
160,100000,200001,0.348918,0.001093,0.347825,0.007460,0.001148,0.027752,0.311465,0,3,NVIDIA GeForce RTX 3090
192,100000,200001,0.332949,0.000946,0.332003,0.007289,0.001148,0.027786,0.295780,0,3,NVIDIA GeForce RTX 3090
224,100000,200001,0.345604,0.001073,0.344531,0.007424,0.001164,0.027757,0.308186,0,3,NVIDIA GeForce RTX 3090
256,100000,200001,0.365605,0.001063,0.364542,0.007499,0.001162,0.027781,0.328100,0,3,NVIDIA GeForce RTX 3090
288,100000,200001,0.351148,0.001088,0.350060,0.007513,0.001166,0.027832,0.313549,0,3,NVIDIA GeForce RTX 3090
320,100000,200001,0.359193,0.000963,0.358230,0.006965,0.001180,0.027695,0.322389,0,3,NVIDIA GeForce RTX 3090
352,100000,200001,0.361560,0.001101,0.360459,0.007249,0.001201,0.027804,0.324205,0,3,NVIDIA GeForce RTX 3090
384,100000,200001,0.365234,0.001116,0.364118,0.007448,0.001208,0.028085,0.327376,0,3,NVIDIA GeForce RTX 3090
416,100000,200001,0.369055,0.001075,0.367980,0.007349,0.001218,0.028194,0.331219,0,3,NVIDIA GeForce RTX 3090
448,100000,200001,0.379269,0.001121,0.378148,0.007397,0.001233,0.028277,0.341241,0,3,NVIDIA GeForce RTX 3090
480,100000,200001,0.373973,0.001097,0.372876,0.007136,0.001249,0.027824,0.336667,0,3,NVIDIA GeForce RTX 3090
512,100000,200001,0.378184,0.001094,0.377090,0.007194,0.001247,0.028125,0.340524,0,3,NVIDIA GeForce RTX 3090
544,100000,200001,0.382285,0.001100,0.381185,0.007143,0.001243,0.028152,0.344648,0,3,NVIDIA GeForce RTX 3090
576,100000,200001,0.397643,0.001081,0.396562,0.007140,0.001247,0.028143,0.360031,0,3,NVIDIA GeForce RTX 3090
608,100000,200001,0.385189,0.001066,0.384123,0.006985,0.001260,0.028419,0.347459,0,3,NVIDIA GeForce RTX 3090
640,100000,200001,0.403770,0.001116,0.402654,0.007035,0.001276,0.028501,0.365842,0,3,NVIDIA GeForce RTX 3090
672,100000,200001,0.410836,0.001112,0.409724,0.007023,0.001293,0.028623,0.372785,0,3,NVIDIA GeForce RTX 3090
704,100000,200001,0.406130,0.001122,0.405008,0.007127,0.001308,0.028780,0.367793,0,3,NVIDIA GeForce RTX 3090
736,100000,200001,0.411730,0.001106,0.410624,0.007122,0.001303,0.029094,0.373105,0,3,NVIDIA GeForce RTX 3090
768,100000,200001,0.433742,0.001116,0.432626,0.007235,0.001299,0.029061,0.395031,0,3,NVIDIA GeForce RTX 3090
800,100000,200001,0.445980,0.001097,0.444883,0.007180,0.001310,0.028927,0.407466,0,3,NVIDIA GeForce RTX 3090
832,100000,200001,0.458739,0.001143,0.457596,0.007098,0.001319,0.029080,0.420098,0,3,NVIDIA GeForce RTX 3090
864,100000,200001,0.453243,0.001120,0.452123,0.007121,0.001331,0.029157,0.414514,0,3,NVIDIA GeForce RTX 3090
