ntpb,npts,nTriMax,totalRuntime,totalCPUTime,totalGPUTime,prepForInsertTimeTot,insertTimeTot,flipTimeTot,updatePtsTimeTot,seed,distribution,deviceName
128,100000,200001,0.397450,-0.001667,0.399117,0.011378,0.001312,0.033302,0.353125,0,0,Tesla V100-PCIE-16GB
128,100000,200001,0.394086,0.000991,0.393095,0.008916,0.001309,0.030739,0.352131,1,0,Tesla V100-PCIE-16GB
128,100000,200001,0.334547,0.000939,0.333608,0.008651,0.001236,0.029316,0.294405,2,0,Tesla V100-PCIE-16GB
128,100000,200001,0.394607,0.000995,0.393612,0.008700,0.001287,0.031293,0.352331,3,0,Tesla V100-PCIE-16GB
128,100000,200001,0.394814,0.000946,0.393868,0.009039,0.001302,0.031568,0.351959,4,0,Tesla V100-PCIE-16GB
