ntpb,npts,nTriMax,totalRuntime,totalCPUTime,totalGPUTime,prepForInsertTimeTot,insertTimeTot,flipTimeTot,updatePtsTimeTot,seed,distribution,deviceName
128,100000,200001,0.426886,0.001051,0.425835,0.005568,0.001713,0.035248,0.383306,0,0,NVIDIA GeForce RTX 2080 SUPER
128,100000,200001,0.415255,0.001331,0.413924,0.006284,0.001748,0.035009,0.370883,1,0,NVIDIA GeForce RTX 2080 SUPER
128,100000,200001,0.371501,0.000996,0.370505,0.005191,0.001632,0.031599,0.332082,2,0,NVIDIA GeForce RTX 2080 SUPER
128,100000,200001,0.413098,0.001087,0.412011,0.005587,0.001719,0.033825,0.370880,3,0,NVIDIA GeForce RTX 2080 SUPER
128,100000,200001,0.414784,0.001054,0.413730,0.005562,0.001721,0.034600,0.371847,4,0,NVIDIA GeForce RTX 2080 SUPER
