ntpb,npts,nTriMax,totalRuntime,totalCPUTime,totalGPUTime,prepForInsertTimeTot,insertTimeTot,flipTimeTot,updatePtsTimeTot,seed,distribution,deviceName
128,100000,200001,7.733951,2.314977,5.418974,0.009803,0.001129,5.099293,0.308748,0,0,NVIDIA A100-SXM4-80GB
128,100000,200001,7.475818,2.317627,5.158191,0.009477,0.001111,4.838660,0.308943,1,0,NVIDIA A100-SXM4-80GB
128,100000,200001,6.776795,1.903584,4.873211,0.009497,0.001074,4.603878,0.258762,2,0,NVIDIA A100-SXM4-80GB
128,100000,200001,7.539829,2.324265,5.215564,0.009706,0.001112,4.896175,0.308571,3,0,NVIDIA A100-SXM4-80GB
128,100000,200001,7.618514,2.299292,5.319222,0.010016,0.001137,4.999258,0.308812,4,0,NVIDIA A100-SXM4-80GB
