ntpb,npts,nTriMax,totalRuntime,totalCPUTime,totalGPUTime,prepForInsertTimeTot,insertTimeTot,flipTimeTot,updatePtsTimeTot,seed,distribution,deviceName
128,100000,200001,0.574101,-0.034027,0.608128,0.020833,0.001460,0.141377,0.444457,0,0,NVIDIA GeForce RTX 4060 Ti
128,100000,200001,0.516652,-0.014336,0.530988,0.016140,0.001786,0.093150,0.419912,1,0,NVIDIA GeForce RTX 4060 Ti
128,100000,200001,0.487694,-0.016815,0.504509,0.026004,0.001678,0.080288,0.396539,2,0,NVIDIA GeForce RTX 4060 Ti
128,100000,200001,0.508001,-0.056802,0.564803,0.016620,0.001701,0.130765,0.415717,3,0,NVIDIA GeForce RTX 4060 Ti
128,100000,200001,0.550437,-0.022809,0.573246,0.026017,0.002341,0.115517,0.429371,4,0,NVIDIA GeForce RTX 4060 Ti
