ntpb,npts,nTriMax,totalRuntime,totalCPUTime,totalGPUTime,prepForInsertTimeTot,insertTimeTot,flipTimeTot,updatePtsTimeTot,seed,distribution,deviceName
128,100000,200001,0.343422,0.001017,0.342405,0.007125,0.001084,0.024409,0.309787,0,0,NVIDIA GeForce RTX 3090
128,100000,200001,0.341967,0.001007,0.340960,0.006949,0.001083,0.023125,0.309802,1,0,NVIDIA GeForce RTX 3090
128,100000,200001,0.290814,0.000892,0.289922,0.006799,0.001033,0.022089,0.260000,2,0,NVIDIA GeForce RTX 3090
128,100000,200001,0.341616,0.001020,0.340596,0.006946,0.001094,0.023578,0.308979,3,0,NVIDIA GeForce RTX 3090
128,100000,200001,0.342537,0.001004,0.341533,0.007238,0.001087,0.023630,0.309578,4,0,NVIDIA GeForce RTX 3090
