ntpb,npts,nTriMax,totalRuntime,totalCPUTime,totalGPUTime,prepForInsertTimeTot,insertTimeTot,flipTimeTot,updatePtsTimeTot,seed,distribution,deviceName
128,100000,200001,0.319562,0.000909,0.318653,0.008090,0.000971,0.029466,0.280126,0,0,NVIDIA A100-PCIE-40GB
128,100000,200001,0.317985,0.000894,0.317091,0.008343,0.000976,0.027560,0.280211,1,0,NVIDIA A100-PCIE-40GB
128,100000,200001,0.270481,0.000895,0.269586,0.007608,0.000922,0.026355,0.234702,2,0,NVIDIA A100-PCIE-40GB
128,100000,200001,0.318449,0.000914,0.317535,0.008201,0.000974,0.028203,0.280157,3,0,NVIDIA A100-PCIE-40GB
128,100000,200001,0.318640,0.000931,0.317709,0.008186,0.000967,0.028227,0.280330,4,0,NVIDIA A100-PCIE-40GB
