ntpb,npts,nTriMax,totalRuntime,totalCPUTime,totalGPUTime,prepForInsertTimeTot,insertTimeTot,flipTimeTot,updatePtsTimeTot,seed,distribution,deviceName
128,4096,8193,0.191260,0.060504,0.130756,0.005910,0.000417,0.117868,0.006561,0,3,NVIDIA GeForce RTX 3090
128,8192,16385,0.339300,0.106456,0.232844,0.005203,0.000427,0.214198,0.013016,0,0,NVIDIA GeForce RTX 3090
128,8192,16385,0.512661,0.170732,0.341929,0.005197,0.000506,0.316163,0.020064,0,1,NVIDIA GeForce RTX 3090
128,8192,16385,0.344429,0.106114,0.238315,0.004665,0.000419,0.220279,0.012952,0,2,NVIDIA GeForce RTX 3090
128,8192,16385,0.414637,0.131586,0.283051,0.005002,0.000473,0.261978,0.015597,0,3,NVIDIA GeForce RTX 3090
128,16384,32769,0.773740,0.237724,0.536016,0.004889,0.000469,0.495839,0.034819,0,0,NVIDIA GeForce RTX 3090
128,16384,32769,1.143664,0.358994,0.784670,0.005613,0.000565,0.726342,0.052149,0,1,NVIDIA GeForce RTX 3090
128,16384,32769,0.658559,0.191384,0.467175,0.004845,0.000433,0.433835,0.028063,0,2,NVIDIA GeForce RTX 3090
128,16384,32769,0.814520,0.236347,0.578173,0.005211,0.000503,0.537569,0.034890,0,3,NVIDIA GeForce RTX 3090
128,32768,65537,1.633175,0.500015,1.133160,0.005668,0.000618,1.044987,0.081887,0,0,NVIDIA GeForce RTX 3090
128,32768,65537,2.354102,0.742071,1.612031,0.006252,0.000742,1.483817,0.121220,0,1,NVIDIA GeForce RTX 3090
128,32768,65537,1.602010,0.496802,1.105208,0.005613,0.000618,1.017848,0.081128,0,2,NVIDIA GeForce RTX 3090
128,32768,65537,1.535723,0.491839,1.043884,0.006050,0.000654,0.956536,0.080645,0,3,NVIDIA GeForce RTX 3090
128,65536,131073,3.027580,0.837965,2.189615,0.006354,0.000849,1.999297,0.183115,0,0,NVIDIA GeForce RTX 3090
128,65536,131073,5.175659,1.531093,3.644566,0.007163,0.001052,3.331813,0.304538,0,1,NVIDIA GeForce RTX 3090
128,65536,131073,3.379527,1.043821,2.335706,0.006636,0.000891,2.114699,0.213481,0,2,NVIDIA GeForce RTX 3090
128,65536,131073,3.343615,1.033967,2.309649,0.006788,0.000951,2.082591,0.219319,0,3,NVIDIA GeForce RTX 3090
128,131072,262145,6.702346,1.919608,4.782738,0.008203,0.001360,4.306379,0.466796,0,0,NVIDIA GeForce RTX 3090
128,131072,262145,12.308751,3.606827,8.701924,0.013119,0.001714,7.887970,0.799120,0,1,NVIDIA GeForce RTX 3090
128,131072,262145,7.102396,1.909711,5.192685,0.007983,0.001343,4.711624,0.471735,0,2,NVIDIA GeForce RTX 3090
128,131072,262145,7.431410,2.173713,5.257697,0.010068,0.001498,4.702667,0.543464,0,3,NVIDIA GeForce RTX 3090
128,262144,524289,14.996396,4.125334,10.871062,0.022777,0.002398,9.506138,1.339750,0,0,NVIDIA GeForce RTX 3090
128,262144,524289,28.526592,7.991980,20.534613,0.018431,0.003036,18.376616,2.136531,0,1,NVIDIA GeForce RTX 3090
128,262144,524289,16.558355,4.702117,11.856238,0.017286,0.002477,10.381625,1.454851,0,2,NVIDIA GeForce RTX 3090
128,262144,524289,16.856859,4.666582,12.190277,0.019083,0.002571,10.671578,1.497044,0,3,NVIDIA GeForce RTX 3090
128,524288,1048577,34.041599,8.544172,25.497427,0.022979,0.004721,21.096457,4.373270,0,0,NVIDIA GeForce RTX 3090
128,524288,1048577,56.054752,15.112789,40.941963,0.028087,0.005515,34.880684,6.027677,0,1,NVIDIA GeForce RTX 3090
128,524288,1048577,47.464184,9.813656,37.650528,0.024349,0.004897,32.973621,4.647659,0,2,NVIDIA GeForce RTX 3090
128,524288,1048577,36.599934,9.446949,27.152985,0.023246,0.004915,22.262512,4.862309,0,3,NVIDIA GeForce RTX 3090
128,1048576,2097153,101.477295,17.718170,83.759125,0.032145,0.009259,68.393990,15.323732,0,0,NVIDIA GeForce RTX 3090
128,1048576,2097153,141.608124,36.075684,105.532440,0.038588,0.011739,84.644341,20.837776,0,1,NVIDIA GeForce RTX 3090
128,1048576,2097153,97.622368,17.973137,79.649231,0.024625,0.009216,64.337738,15.277653,0,2,NVIDIA GeForce RTX 3090
128,1048576,2097153,81.504066,17.215240,64.288826,0.039961,0.009568,48.053577,16.185717,0,3,NVIDIA GeForce RTX 3090
128,4,9,0.004067,0.000320,0.003747,0.002774,0.000108,0.000811,0.000054,1,0,NVIDIA GeForce RTX 3090
128,4,9,0.004313,-0.004163,0.008476,0.007503,0.000114,0.000805,0.000054,1,1,NVIDIA GeForce RTX 3090
128,4,9,0.004146,0.000310,0.003836,0.002842,0.000109,0.000832,0.000053,1,2,NVIDIA GeForce RTX 3090
128,4,9,0.004257,0.000376,0.003881,0.002763,0.000127,0.000920,0.000071,1,3,NVIDIA GeForce RTX 3090
128,8,17,0.005361,0.000544,0.004817,0.003377,0.000156,0.001204,0.000080,1,0,NVIDIA GeForce RTX 3090
128,8,17,0.005444,0.000541,0.004903,0.002990,0.000158,0.001676,0.000079,1,1,NVIDIA GeForce RTX 3090
128,8,17,0.005262,0.000718,0.004544,0.003129,0.000151,0.001187,0.000077,1,2,NVIDIA GeForce RTX 3090
128,8,17,0.005563,0.000511,0.005052,0.002976,0.000160,0.001835,0.000081,1,3,NVIDIA GeForce RTX 3090
128,16,33,0.005340,0.000054,0.005286,0.003495,0.000156,0.001550,0.000085,1,0,NVIDIA GeForce RTX 3090
128,16,33,0.005273,0.000597,0.004676,0.002910,0.000155,0.001526,0.000085,1,1,NVIDIA GeForce RTX 3090
128,16,33,0.006319,0.000699,0.005620,0.003128,0.000181,0.002209,0.000102,1,2,NVIDIA GeForce RTX 3090
128,16,33,0.006895,0.001248,0.005647,0.003176,0.000186,0.002183,0.000101,1,3,NVIDIA GeForce RTX 3090
128,32,65,0.007247,0.001098,0.006149,0.003077,0.000189,0.002774,0.000110,1,0,NVIDIA GeForce RTX 3090
128,32,65,0.007239,0.000434,0.006805,0.003330,0.000176,0.003190,0.000109,1,1,NVIDIA GeForce RTX 3090
128,32,65,0.007000,0.000981,0.006019,0.003070,0.000184,0.002651,0.000114,1,2,NVIDIA GeForce RTX 3090
128,32,65,0.006716,0.000838,0.005878,0.003163,0.000184,0.002419,0.000112,1,3,NVIDIA GeForce RTX 3090
128,64,129,0.008674,0.001175,0.007499,0.003218,0.000206,0.003924,0.000152,1,0,NVIDIA GeForce RTX 3090
128,64,129,0.008921,0.000514,0.008407,0.003195,0.000209,0.004852,0.000151,1,1,NVIDIA GeForce RTX 3090
128,64,129,0.008122,0.001193,0.006929,0.003180,0.000207,0.003389,0.000154,1,2,NVIDIA GeForce RTX 3090
128,64,129,0.008669,0.001163,0.007506,0.003136,0.000204,0.004020,0.000146,1,3,NVIDIA GeForce RTX 3090
128,128,257,0.012309,0.002207,0.010102,0.003853,0.000253,0.005714,0.000282,1,0,NVIDIA GeForce RTX 3090
128,128,257,0.013191,0.002645,0.010546,0.003468,0.000257,0.006542,0.000279,1,1,NVIDIA GeForce RTX 3090
128,128,257,0.011091,0.001992,0.009099,0.003411,0.000239,0.005215,0.000234,1,2,NVIDIA GeForce RTX 3090
128,128,257,0.011407,-0.001656,0.013063,0.007455,0.000228,0.005146,0.000233,1,3,NVIDIA GeForce RTX 3090
128,256,513,0.016722,0.004303,0.012419,0.003498,0.000284,0.008149,0.000488,1,0,NVIDIA GeForce RTX 3090
128,256,513,0.017440,0.004227,0.013213,0.003473,0.000278,0.008987,0.000475,1,1,NVIDIA GeForce RTX 3090
128,256,513,0.018291,-0.000769,0.019060,0.008759,0.000296,0.009525,0.000479,1,2,NVIDIA GeForce RTX 3090
128,256,513,0.015727,0.003351,0.012376,0.003381,0.000263,0.008345,0.000386,1,3,NVIDIA GeForce RTX 3090
128,512,1025,0.026105,0.007084,0.019021,0.003547,0.000289,0.014415,0.000771,1,0,NVIDIA GeForce RTX 3090
128,512,1025,0.027928,0.006891,0.021037,0.003451,0.000293,0.016546,0.000747,1,1,NVIDIA GeForce RTX 3090
128,512,1025,0.026951,0.007089,0.019862,0.003476,0.000311,0.015317,0.000758,1,2,NVIDIA GeForce RTX 3090
128,512,1025,0.024450,0.006278,0.018172,0.003418,0.000310,0.013735,0.000709,1,3,NVIDIA GeForce RTX 3090
128,1024,2049,0.041151,0.006865,0.034286,0.008033,0.000312,0.024688,0.001253,1,0,NVIDIA GeForce RTX 3090
128,1024,2049,0.055554,0.016345,0.039209,0.003737,0.000346,0.033361,0.001764,1,1,NVIDIA GeForce RTX 3090
128,1024,2049,0.039318,0.010894,0.028424,0.003510,0.000303,0.023382,0.001229,1,2,NVIDIA GeForce RTX 3090
