ntpb,npts,nTriMax,totalRuntime,totalCPUTime,totalGPUTime,prepForInsertTimeTot,insertTimeTot,flipTimeTot,updatePtsTimeTot,seed,distribution,deviceName
128,4096,8193,0.218811,0.060948,0.157863,0.004078,0.000459,0.116196,0.037129,0,3,NVIDIA GeForce RTX 3090
128,8192,16385,0.406722,0.110929,0.295793,0.004582,0.000418,0.220820,0.069973,0,0,NVIDIA GeForce RTX 3090
128,8192,16385,0.593490,0.169621,0.423869,0.005063,0.000507,0.313440,0.104858,0,1,NVIDIA GeForce RTX 3090
128,8192,16385,0.416202,0.110137,0.306065,0.004582,0.000423,0.228868,0.072192,0,2,NVIDIA GeForce RTX 3090
128,8192,16385,0.478103,0.131167,0.346936,0.004962,0.000488,0.259547,0.081939,0,3,NVIDIA GeForce RTX 3090
128,16384,32769,0.937797,0.243290,0.694507,0.005047,0.000552,0.503517,0.185392,0,0,NVIDIA GeForce RTX 3090
128,16384,32769,1.357719,0.364037,0.993681,0.005623,0.000650,0.734014,0.253394,0,1,NVIDIA GeForce RTX 3090
128,16384,32769,0.795244,0.191987,0.603257,0.004836,0.000517,0.434564,0.163339,0,2,NVIDIA GeForce RTX 3090
128,16384,32769,0.989428,0.242285,0.747143,0.005079,0.000577,0.549525,0.191962,0,3,NVIDIA GeForce RTX 3090
128,32768,65537,2.018571,0.510820,1.507751,0.005461,0.000772,1.064472,0.437045,0,0,NVIDIA GeForce RTX 3090
128,32768,65537,2.849029,0.756739,2.092290,0.006352,0.000901,1.507108,0.577928,0,1,NVIDIA GeForce RTX 3090
128,32768,65537,1.969328,0.501378,1.467950,0.005574,0.000783,1.031553,0.430041,0,2,NVIDIA GeForce RTX 3090
128,32768,65537,1.929358,0.507502,1.421856,0.005724,0.000806,0.979373,0.435954,0,3,NVIDIA GeForce RTX 3090
128,65536,131073,4.139205,0.885356,3.253849,0.006464,0.001122,2.026438,1.219825,0,0,NVIDIA GeForce RTX 3090
128,65536,131073,6.713984,1.563310,5.150674,0.008069,0.001402,3.402710,1.738492,0,1,NVIDIA GeForce RTX 3090
128,65536,131073,4.490169,1.058441,3.431728,0.012202,0.001186,2.153321,1.265018,0,2,NVIDIA GeForce RTX 3090
128,65536,131073,4.607345,1.068421,3.538924,0.007191,0.001252,2.189759,1.340722,0,3,NVIDIA GeForce RTX 3090
128,131072,262145,10.616818,1.974520,8.642299,0.007755,0.001980,4.457374,4.175190,0,0,NVIDIA GeForce RTX 3090
128,131072,262145,16.967903,3.660835,13.307068,0.010616,0.002529,7.928363,5.365560,0,1,NVIDIA GeForce RTX 3090
128,131072,262145,10.781735,1.885398,8.896338,0.007880,0.001977,4.692762,4.193719,0,2,NVIDIA GeForce RTX 3090
128,131072,262145,11.852419,2.272747,9.579672,0.011748,0.002201,4.900826,4.664896,0,3,NVIDIA GeForce RTX 3090
128,262144,524289,29.237902,4.192846,25.045055,0.016603,0.003802,9.650604,15.374045,0,0,NVIDIA GeForce RTX 3090
128,262144,524289,47.570606,8.371777,39.198830,0.025115,0.004915,19.543667,19.625132,0,1,NVIDIA GeForce RTX 3090
